"Назва","Чистий процентний дохід/(Чисті процентні витрати)","Усього власного капіталу","Кошти клієнтів","Кредити та заборгованість клієнтів","Загальні активи, усього"
"Банки з державною часткою","","","","",""
"АТ КБ ""ПРИВАТБАНК""","4,897,293","38,837,847","221,233,248","51,227,226","525,698,074"
"АТ ""ОЩАДБАНК""","1,598,882","18,659,366","156,225,001","34,181,907","279,640,085"
"АТ ""Укрексімбанк""","355,428","8,718,342","82,828,741","18,719,345","232,798,022"
"АБ ""УКРГАЗБАНК""","723,634","5,893,278","77,282,524","21,282,796","99,606,035"
"ПАТ ""РОЗРАХУНКОВИЙ ЦЕНТР""","9,961","252,712","40,663","0","309,790"
"Усього по банках з державною часткою","7,585,198","72,361,545","537,610,178","125,411,274","1,138,052,006"
"Банки іноземних банківських груп","","","","",""
"АТ ""Райффайзен Банк Аваль""","1,740,504","12,721,252","55,571,235","34,994,734","79,438,888"
"АТ ""АЛЬФА-БАНК""","1,019,276","5,570,119","52,283,107","16,641,754","69,614,276"
"АТ ""СБЕРБАНК""","683,560","6,994,687","7,567,263","1,999,200","65,068,066"
"АТ ""УКРСИББАНК""","1,101,609","7,348,255","37,572,625","17,372,187","52,998,455"
"ПАТ ""Промінвестбанк""","163,193","3,444,447","4,105,845","1,148,838","47,198,886"
"АТ ""ОТП БАНК""","903,921","6,035,619","26,823,524","15,800,639","39,777,901"
"АТ ""УКРСОЦБАНК""","190,489","2,906,155","1,293,683","2,782,398","37,832,442"
"АТ ""КРЕДІ АГРІКОЛЬ БАНК""","607,414","4,655,693","28,481,515","18,089,134","37,439,903"
"АТ ""СІТІБАНК""","477,286","2,804,464","19,711,174","3,823,900","22,890,001"
"АТ ""ПРОКРЕДИТ БАНК""","284,535","3,093,534","12,164,458","11,453,998","21,662,627"
"АТ ""КРЕДОБАНК""","351,981","2,110,338","12,119,314","8,179,972","17,560,930"
"АТ ""ІНГ Банк Україна""","278,844","4,327,008","5,386,983","5,884,349","11,346,850"
"АТ ""Ідея Банк""","360,291","627,973","3,488,581","3,555,261","6,369,765"
"АТ ""ПРАВЕКС БАНК""","99,653","1,979,617","2,600,018","435,585","4,850,937"
"АТ ""ПІРЕУС БАНК МКБ""","55,195","619,048","1,661,804","750,662","2,741,219"
"АТ ""БАНК ФОРВАРД""","63,149","249,674","1,476,907","1,007,520","2,598,494"
"АТ ""Дойче Банк ДБУ""","37,757","380,634","2,153,533","1,090,610","2,593,053"
"АТ ""СЕБ КОРПОРАТИВНИЙ БАНК""","37,009","557,899","1,300,646","755,396","1,914,768"
"АТ ""КРЕДИТ ЄВРОПА БАНК""","17,153","344,057","267,153","277,882","1,780,524"
"АТ ""КРЕДИТВЕСТ БАНК""","26,605","409,870","774,589","694,626","1,639,469"
"АТ ""БТА Банк""","7,237","353,344","118,089","54,650","581,330"
"Усього по банках іноземних банківських груп","8,506,660","67,533,687","276,922,046","146,793,296","527,898,783"
"Банки з приватним капіталом","","","","",""
"АТ ""ПУМБ""","1,205,935","7,107,179","37,526,744","18,509,429","56,226,137"
"Акціонерний банк""Південний""","342,213","2,596,041","16,983,030","7,587,943","25,810,987"
"АТ ""ТАСКОМБАНК""","303,254","2,163,392","13,650,505","6,581,487","18,818,983"
"АТ ""БАНК КРЕДИТ ДНІПРО""","46,210","937,389","7,901,659","2,290,097","12,482,451"
"АТ ""УНІВЕРСАЛ БАНК""","190,895","996,205","8,911,142","4,274,967","12,470,733"
"АТ ""МЕГАБАНК"", Харків","38,668","922,300","6,897,392","2,671,331","10,053,552"
"АТ ""МІБ""","32,355","364,153","7,945,406","1,151,302","9,513,705"
"ПАТ ""БАНК ВОСТОК""","147,430","733,766","6,481,915","3,108,001","8,778,020"
"АТ ""А - БАНК""","281,104","1,006,760","4,046,486","3,679,266","6,240,793"
"ПАТ ""МТБ БАНК""","67,082","695,682","4,087,618","1,368,673","5,246,641"
"АКБ ""ІНДУСТРІАЛБАНК""","84,766","1,261,499","2,934,235","1,335,038","4,886,930"
"БАНК ІНВЕСТ. ТА ЗАОЩАДЖЕНЬ","32,754","545,148","3,448,153","974,593","4,505,887"
"АБ ""КЛІРИНГОВИЙ ДІМ""","27,762","553,208","1,873,596","439,806","3,119,608"
"АТ ""БАНК АЛЬЯНС""","36,031","419,668","2,263,427","1,442,084","2,862,325"
